,tourney_date,w_id,w_games_won,w_aces_per_serve,w_bp_saved_per_faced,w_bp_won_per_achieved,w_serve_winloss,w_nonserve_winloss,w_firstserve_win,winner_rank_points,l_id,l_games_won,l_aces_per_serve,l_bp_saved_per_faced,l_bp_won_per_achieved,l_serve_winloss,l_nonserve_winloss,l_firstserve_win,loser_rank_points
0,2026-01-17,M0FH,18,0.05102040816326531,0.75,0.33333333333333337,0.6836734693877551,0.38144329896907214,0.5,1360.0,HH26,13,0.08247422680412371,0.6666666666666666,0.25,0.6185567010309279,0.3163265306122449,0.45918367346938777,1355.0
1,2026-01-17,M0NI,13,0.26865671641791045,0.5,0.4,0.7164179104477612,0.36923076923076925,0.582089552238806,2125.0,B0BI,9,0.03076923076923077,0.6,0.5,0.6307692307692307,0.28358208955223885,0.5223880597014925,1250.0
2,2026-01-16,B0BI,12,0.09615384615384616,0.5,0.2666666666666667,0.7115384615384616,0.5,0.5769230769230769,1250.0,GC88,5,0.0375,0.7333333333333333,0.5,0.5,0.28846153846153844,0.5576923076923077,895.0
3,2026-01-16,B0BI,13,0.0,0.6,0.4545454545454546,0.639344262295082,0.4931506849315068,0.5409836065573771,1250.0,S0S1,8,0.0821917808219178,0.5454545454545454,0.4,0.5068493150684932,0.360655737704918,0.47540983606557374,3960.0
4,2026-01-16,HH26,18,0.09900990099009901,0.0,0.33333333333333337,0.7029702970297029,0.33009708737864074,0.5247524752475248,1355.0,DH50,16,0.04854368932038835,0.6666666666666666,1.0,0.6699029126213593,0.29702970297029707,0.504950495049505,2585.0
5,2026-01-16,M0CI,14,0.1232876712328767,0.3333333333333333,0.7142857142857143,0.589041095890411,0.3787878787878788,0.4794520547945205,975.0,S0JA,12,0.07575757575757576,0.2857142857142857,0.6666666666666667,0.6212121212121212,0.410958904109589,0.3561643835616438,672.0
6,2026-01-16,M0FH,14,0.09523809523809523,0.5,0.375,0.6428571428571429,0.4024390243902439,0.47619047619047616,1360.0,PL56,12,0.036585365853658534,0.625,0.5,0.5975609756097561,0.3571428571428571,0.36904761904761907,2000.0
7,2026-01-16,M0NI,12,0.18604651162790697,0.0,0.4444444444444444,0.7441860465116279,0.4901960784313726,0.5348837209302325,2125.0,M0GZ,6,0.09803921568627451,0.5555555555555556,1.0,0.5098039215686274,0.2558139534883721,0.4418604651162791,865.0
8,2026-01-16,M0NI,17,0.16326530612244897,0.625,0.5714285714285714,0.6530612244897959,0.375,0.4387755102040816,2125.0,M0CI,13,0.03125,0.42857142857142855,0.375,0.625,0.34693877551020413,0.45918367346938777,975.0
9,2026-01-15,DH50,13,0.04838709677419355,0.0,0.6,0.7419354838709677,0.3846153846153846,0.5645161290322581,2585.0,VA25,8,0.23076923076923078,0.4,1.0,0.6153846153846154,0.25806451612903225,0.5161290322580645,1469.0
10,2026-01-15,GC88,14,0.09090909090909091,0.5454545454545454,0.5,0.5681818181818182,0.3978494623655914,0.42045454545454547,895.0,D0FJ,15,0.12903225806451613,0.5,0.4545454545454546,0.6021505376344086,0.43181818181818177,0.4090909090909091,1579.0
11,2026-01-15,HH26,12,0.1590909090909091,1.0,0.5714285714285714,0.7954545454545454,0.5609756097560976,0.6363636363636364,1355.0,S0H2,3,0.024390243902439025,0.42857142857142855,0.0,0.43902439024390244,0.20454545454545459,0.3409090909090909,597.0
12,2026-01-15,M0FH,12,0.03278688524590164,1.0,0.33333333333333337,0.7213114754098361,0.35593220338983056,0.45901639344262296,1360.0,MU94,8,0.06779661016949153,0.6666666666666666,0.0,0.6440677966101694,0.2786885245901639,0.45901639344262296,1295.0
13,2026-01-15,PL56,12,0.1875,0.0,0.5714285714285714,0.7291666666666666,0.5294117647058824,0.4166666666666667,2000.0,V832,5,0.0196078431372549,0.42857142857142855,1.0,0.47058823529411764,0.27083333333333337,0.3541666666666667,693.0
14,2026-01-14,B0BI,13,0.014705882352941176,0.7777777777777778,1.0,0.5882352941176471,0.5849056603773585,0.4852941176470588,1250.0,B0CD,5,0.0,0.0,0.2222222222222222,0.41509433962264153,0.4117647058823529,0.23529411764705882,1017.0
15,2026-01-14,D0FJ,14,0.11688311688311688,0.625,0.6,0.6493506493506493,0.3421052631578947,0.44155844155844154,1579.0,TE30,14,0.14473684210526316,0.4,0.375,0.6578947368421053,0.35064935064935066,0.4935064935064935,722.0
16,2026-01-14,DH50,12,0.0,0.6,0.5454545454545454,0.627906976744186,0.5483870967741935,0.4418604651162791,2585.0,H0BH,5,0.016129032258064516,0.45454545454545453,0.4,0.45161290322580644,0.37209302325581395,0.4418604651162791,527.0
17,2026-01-14,GC88,12,0.0784313725490196,0.0,0.375,0.7254901960784313,0.41891891891891897,0.5882352941176471,895.0,M0QI,8,0.05405405405405406,0.625,1.0,0.581081081081081,0.27450980392156865,0.6470588235294118,1350.0
18,2026-01-14,HH26,12,0.057692307692307696,0.8,0.5,0.7115384615384616,0.5,0.46153846153846156,1355.0,GJ37,5,0.03571428571428571,0.5,0.19999999999999996,0.5,0.28846153846153844,0.4230769230769231,1565.0
19,2026-01-14,M0CI,12,0.06896551724137931,1.0,0.2222222222222222,0.7413793103448276,0.3492063492063492,0.5862068965517241,975.0,RH16,8,0.09523809523809523,0.7777777777777778,0.0,0.6507936507936508,0.2586206896551724,0.5689655172413793,2795.0
20,2026-01-14,M0FH,12,0.1016949152542373,0.5,0.6666666666666667,0.6440677966101694,0.4464285714285714,0.4915254237288136,1360.0,HB64,6,0.07142857142857142,0.3333333333333333,0.5,0.5535714285714286,0.35593220338983056,0.3728813559322034,697.0
