,player1_win,ranking_diff,match_winloss_diff,game_winloss_diff,aces_per_serve_diff,bp_saved_per_faced_diff,bp_won_per_achieved_diff,serve_winloss_diff,nonserve_winloss_diff,firstserve_win_diff
0,0,-1219.0,-0.07741935483870965,-0.06046344852315011,0.020810030213111494,0.011704957020813755,0.10133848117549299,-0.04562699841200357,0.0038015119550702248,0.004943995550751534
1,0,-130.0,0.023569023569023573,-0.03857646946625537,0.007098614547226767,-0.048160320624088704,-0.0726829479800365,0.010073441123724103,-0.014912317084790017,-0.029487408416203287
2,1,668.0,0.29365079365079366,0.2497117516629711,0.07451832088170236,-0.05454627460929984,-0.01951421594278746,0.10136848904558926,-0.011938144996524291,0.06419449454319465
3,0,-10550.0,-0.41666666666666663,-0.43381759483454396,0.005384194165246131,-0.14237553024317728,-0.11285984236351881,-0.0412310148975501,-0.08977294124337876,0.035121255033377985
4,0,-664.0,-0.0892857142857143,-0.16666666666666652,-0.0021798799292975513,0.00702282194929249,-0.04160318847818839,-0.02518362030351029,-0.013389645811172912,-0.07258279500092224
5,0,-8085.0,-0.22739361702127658,-0.19904383410718496,-0.05602364209296437,-0.1359078495381686,0.02034118976552668,-0.0744672816404891,-0.0017511089872951358,-0.05884031727137451
6,1,72.0,0.015384615384615385,0.03532252138770797,-0.04869376619072016,0.1023385004889531,0.005222069597069612,-0.03712725792008065,0.01819170002463938,0.023833532984092798
7,0,-40.0,0.12384716732542822,0.03235863825722385,0.005809177335418858,0.0713942659594834,-0.0037266934500136406,0.010293213907272447,0.03293457155506829,-0.04473824897582346
8,0,1614.0,0.025000000000000022,0.07578284231980748,-0.007828132964577822,0.06306626730968834,0.061083257020757065,0.022973041453429932,-0.021778118123575163,0.07405655234638009
9,0,-1355.0,0.012003000750187565,0.07515689575998774,-0.08659322240425535,-0.11087181135943325,0.08101987789878995,-0.07328006621616034,0.06782928170737323,-0.09565977481171895
10,0,980.0,0.12624584717607978,0.008929305746478322,0.0021603679188192254,-0.07233249236046924,-0.032791201312461715,0.015651111580096577,0.005773877948000494,0.014920654133714406
11,1,10140.0,0.5380434782608695,0.5523442254576096,0.08451689481197079,0.104645902607859,0.1275958739770322,0.1253628831561312,0.05318885349505681,0.005164331060238836
12,0,-259.0,0.07575757575757569,0.15860646746522744,-0.0210294649953897,0.060664163277799665,0.1118781218781219,0.01628218968109918,0.021236580892989743,0.038647489043385386
13,0,3.0,0.1923076923076923,0.15359865359865355,-0.0054560893339712785,0.13786959778862617,-0.015773809523809468,-0.006426312825194791,0.03874179508762088,0.026354201649148423
14,1,5730.0,0.2996677740863788,0.37556295802798134,-0.039668006679419276,0.08139439468198661,0.09670124363471094,0.019461135476715685,0.08814904045403044,-0.027577325110323347
15,1,3460.0,0.23550990462215704,0.2883722117298759,0.054489039184346305,0.1218030608734505,0.022925354494942096,0.06249412564914936,0.04054579264123298,0.0441131155412785
16,0,-3555.0,-0.18723404255319154,-0.15895767050501464,-0.0173870616689899,0.03373189223013262,0.018772610625062025,-0.044469779001132914,-0.01424020155449035,-0.062291313629208034
17,0,-505.0,0.06276595744680846,0.10518979881166679,-0.06172939103396935,0.038037249457809175,0.014000317727054068,-0.024471937380498243,0.0223378483830437,-0.05074970412738827
18,0,-1085.0,0.14935064935064934,0.15026836262039556,-0.03983812105382979,-0.014649221629741027,0.04018190980101938,-0.003468955336625279,0.02416679029998159,-0.06052028453529462
19,1,-530.0,0.05594405594405594,0.01050519017851137,0.04750270335120464,0.06921662253830096,-0.02082271522830964,0.06580503881519117,-0.05666708298033751,0.0423828545284034
20,0,-555.0,0.09340659340659341,0.1397631724418842,-0.08734082440503443,-0.08386584416804199,0.06100462502932902,-0.06927399415181645,0.0808338732803191,-0.10290313906369802
21,0,3015.0,0.09492635024549922,0.11969219863956693,-0.013887256184327734,-0.08168981182483648,-0.00047138101112337294,0.004105411559646277,0.04664751933687539,0.01846269281918933
22,1,-2955.0,-0.2982758620689655,-0.3935620105415427,0.007240351849623045,-0.15984031033125967,-0.036925672221996164,-0.038022188268651114,-0.06288364102427668,0.006636588586109771
23,0,-95.0,0.0482758620689655,0.1294145412248613,0.037101977515356405,0.15553495310358312,0.04169796512000412,0.018024346648016443,0.02630559108674263,-0.01817819808792953
24,0,-5500.0,-0.2660753880266076,-0.21196398287975438,-0.015767614924164036,-0.10427309202253765,-0.008936003226468925,-0.06328634486869333,0.0015433494345082344,-0.012633072930064548
25,0,-6030.0,-0.21013133208255164,-0.201458792701243,0.031735088427040606,-0.035056469484236685,-0.029758718454778565,0.002518693946497841,-0.05512373354582928,0.029749781598338854
26,1,6585.0,0.11672473867595823,0.06169562025935882,0.05560573597799383,0.11892231365227868,-0.031245906574550453,0.06675530020531861,-0.025710139734489823,0.07315335746535917
27,1,6475.0,0.35071488645920945,0.370138805791552,0.036641206941633434,0.23854934218252366,0.053155453960844035,0.05587002014300524,0.04902200685018687,-0.004099358876249681
28,0,-6030.0,-0.21013133208255164,-0.201458792701243,0.031735088427040606,-0.035056469484236685,-0.029758718454778565,0.002518693946497841,-0.05512373354582928,0.029749781598338854
29,1,3050.0,0.25,0.2641474693166814,-0.04434232936497945,0.004305357227676554,-0.004772292898007957,0.01999784162063467,0.03657804993753405,0.01154160950181976
30,1,450.0,0.13257575757575762,0.11077061739522309,0.0543788541680469,0.035429569378432946,-0.07892402736152726,0.05434413375665281,-0.013194961149751716,0.003746240668100864
